gender,year_study,current_stay,preference,pref_reasons,pref_afford,pref_proximity,pref_social,pref_amenities,pref_security,change_accommodation,satisfaction,prefer_closer,distance_affects_attendance,commute_mode,commute_walk,commute_bike,commute_bus,commute_taxi,proximity_focus,funding_source,changed_before,less_pref_due_cost,amenities_list,amenity_water,amenity_electricity,amenity_internet,amenity_laundry,amenity_aircon,amenity_cleanbath,issues_basic_services,water_supply,electricity_supply,internet_access,room_cleanliness,bathroom_facility,hostel_management,study_space_conducive,env_collaboration,social_influence,rating,security_personnel,security_cctv,security_fencing,security_checkin,security_none,experienced_theft,security_confidence,focus_feeling,mental_health,consistent_study_routine,study_elsewhere,study_hours
Male,1,Off-Campus,On-campus hostel,Proximity to lecture halls,0,1,0,0,0,Yes,3,Yes,Sometimes,Walking,1,0,0,0,2,Parents/Guardians,No,No,Water ,1,0,0,0,0,0,Occasionally,4,4,2,3,3,3,No,3,No,4,1,1,1,1,0,No,Good,3,3,Sometimes,No,4
Male,1,Off-Campus,Off-campus hostel,"Affordability Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.)",1,1,0,1,0,Yes,3,Yes,Not at all,Walking,1,0,0,0,4,Parents/Guardians,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,3,4,2,3,3,3,No,3,No,4,1,0,1,0,0,No,Very good,3,3,Sometimes,Yes,3
Male,3,Off-Campus,Off-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.)",0,1,0,1,0,Maybe,3,No,Very much,Walking,1,0,0,0,3,Parents/Guardians,Yes,No,Water  Electricity Clean bathroom Facilities,1,1,0,0,0,1,Rarely,2,1,4,1,3,3,Yes,2,No,4,1,0,1,0,0,No,Very good,1,3,No,No,0
Female,2,Off-Campus,Off-campus hostel,Affordability Access to social life,1,0,1,0,0,Maybe,4,No,Not at all,Walking Taxi,1,0,0,1,1,Parents/Guardians,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Rarely,4,5,3,5,5,2,No,2,No,5,1,0,1,0,0,No,Good,4,3,Sometimes,No,7
Male,1,On-Campus,On-campus hostel,"Availability of amenities (Wi-Fi, water, etc.)",0,0,0,1,0,Maybe,3,Yes,Sometimes,Walking,1,0,0,0,5,Parents/Guardians,No,No,Water ,1,0,0,0,0,0,Rarely,5,5,3,4,4,4,No,5,Yes,3,0,1,0,0,0,No,Good,5,5,Yes,Yes,2
Male,3,Off-Campus,Off-campus hostel,Proximity to lecture halls,0,1,0,0,0,Maybe,3,Maybe,Not at all,Walking,1,0,0,0,4,Parents/Guardians,Yes,No,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Occasionally,3,3,5,2,2,3,Not available foruse,3,No,3,1,1,0,1,0,No,Good,3,3,Sometimes,Yes,2
Male,3,Off-Campus,Off-campus hostel,Proximity to lecture halls,0,1,0,0,0,Yes,4,No,Very much,Walking,1,0,0,0,5,Parents/Guardians,No,Yes,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Occasionally,3,5,2,1,1,1,No,1,Yes,1,1,1,1,0,0,No,Poor,2,1,No,Yes,2
Female,1,Off-Campus,Off-campus hostel,"Availability of amenities (Wi-Fi, water, etc.)",0,0,0,1,0,Yes,1,No,Very much,Walking,1,0,0,0,1,Parents/Guardians,No,Yes,Water ,1,0,0,0,0,0,Occasionally,2,5,1,1,1,1,No,1,Yes,1,0,0,0,0,1,No,Poor,1,1,No,Yes,1
Female,4,Off-Campus,On-campus hostel,Security,0,0,0,0,1,Maybe,3,Yes,Sometimes,Walking,1,0,0,0,3,Parents/Guardians,Yes,No,Water ,1,0,0,0,0,0,Frequently ,1,5,3,4,4,2,No,5,Yes,4,0,0,1,0,0,Yes,Fair,3,5,Sometimes,No,2
Male,2,Off-Campus,On-campus hostel,Security,0,0,0,0,1,Maybe,3,Maybe,Sometimes,Walking Shuttle/Bus,1,0,1,0,4,Parents/Guardians,No,No,Clean bathroom Facilities,0,0,0,0,0,1,Occasionally,2,4,1,2,2,2,No,3,Yes,4,0,0,0,0,1,No,Poor,3,3,Yes,Yes,3
